ts_utc,token_id,stream_bid,rest_bid,stream_ask,rest_ask,bid_diff_ticks,ask_diff_ticks,verdict,stream_age_s
2026-07-31T19:18:37Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.19,0.19,0.2,0.2,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.8,0.8,0.81,0.81,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:18:37Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:18:37Z,91462602922833180947726112170254390614818952379099373819980544185105814335912,0.008,0.008,0.014,0.014,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,81721579149417963189765236244745822836753525940504722923358710243774318095792,0.986,0.986,0.992,0.992,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,25833169055592830552248267144711111137650707446685661578070083522867399973775,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:18:37Z,96178289963040200620703848874877712212637809030966664466182363345407337829935,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:18:37Z,5823805802875099304203116182652199693089526522530469365767529374822548212673,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:18:37Z,44485368873643784531862401772918820589721230664189835980509638753050855169710,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:18:37Z,57748138085022719760345772310040703848567377822400132842014290209986511882046,0.021,0.021,0.022,0.022,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,28239418772633645184924651434956000849078365566842629564562475378531350731731,0.978,0.978,0.979,0.979,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,11728583497514710574356365513249856989304427730091039531942765980605070477300,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:18:37Z,75848210276979954337354349909329862141109563590210566057575338891512846216329,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:18:37Z,3833250547311424992805456252782158332407335422350263044535636678503072819141,0.85,0.85,0.86,0.86,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,30676432546818066080538703205639237969080188796746196694446265523208566227883,0.14,0.14,0.15,0.15,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,75420985704539476720201822398737536250361142581449146517471804075014610439901,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:18:37Z,78180905609071236572586667008641046319691354734695474716224751695019997977366,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:18:37Z,76105733415998926390129496940295162456139380792182389508546861175235643513945,0.54,0.54,0.55,0.55,0.0,0.0,match,0.0
2026-07-31T19:18:37Z,24510156073299886915375683237756073428325078326433420767742812405509165448150,0.45,0.45,0.46,0.46,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.14,0.14,0.15,0.15,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.85,0.85,0.86,0.86,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:21:15Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:21:15Z,91462602922833180947726112170254390614818952379099373819980544185105814335912,0.008,0.008,0.014,0.014,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,81721579149417963189765236244745822836753525940504722923358710243774318095792,0.986,0.986,0.992,0.992,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,25833169055592830552248267144711111137650707446685661578070083522867399973775,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:21:15Z,96178289963040200620703848874877712212637809030966664466182363345407337829935,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:21:15Z,5823805802875099304203116182652199693089526522530469365767529374822548212673,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:21:15Z,44485368873643784531862401772918820589721230664189835980509638753050855169710,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:21:15Z,57748138085022719760345772310040703848567377822400132842014290209986511882046,0.021,0.021,0.022,0.022,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,28239418772633645184924651434956000849078365566842629564562475378531350731731,0.978,0.978,0.979,0.979,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,11728583497514710574356365513249856989304427730091039531942765980605070477300,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:21:15Z,75848210276979954337354349909329862141109563590210566057575338891512846216329,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:21:15Z,3833250547311424992805456252782158332407335422350263044535636678503072819141,0.84,0.84,0.86,0.86,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,30676432546818066080538703205639237969080188796746196694446265523208566227883,0.14,0.14,0.16,0.16,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,75420985704539476720201822398737536250361142581449146517471804075014610439901,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:21:15Z,78180905609071236572586667008641046319691354734695474716224751695019997977366,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:21:15Z,76105733415998926390129496940295162456139380792182389508546861175235643513945,0.53,0.53,0.54,0.54,0.0,0.0,match,0.0
2026-07-31T19:21:15Z,24510156073299886915375683237756073428325078326433420767742812405509165448150,0.46,0.46,0.47,0.47,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.11,0.11,0.12,0.12,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.88,0.88,0.89,0.89,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:23:53Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:23:53Z,91462602922833180947726112170254390614818952379099373819980544185105814335912,0.008,0.008,0.014,0.014,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,81721579149417963189765236244745822836753525940504722923358710243774318095792,0.986,0.986,0.992,0.992,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,25833169055592830552248267144711111137650707446685661578070083522867399973775,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:23:53Z,96178289963040200620703848874877712212637809030966664466182363345407337829935,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:23:53Z,5823805802875099304203116182652199693089526522530469365767529374822548212673,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:23:53Z,44485368873643784531862401772918820589721230664189835980509638753050855169710,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:23:53Z,57748138085022719760345772310040703848567377822400132842014290209986511882046,0.021,0.021,0.022,0.022,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,28239418772633645184924651434956000849078365566842629564562475378531350731731,0.978,0.978,0.979,0.979,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,11728583497514710574356365513249856989304427730091039531942765980605070477300,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:23:53Z,75848210276979954337354349909329862141109563590210566057575338891512846216329,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:23:53Z,3833250547311424992805456252782158332407335422350263044535636678503072819141,0.84,0.84,0.85,0.85,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,30676432546818066080538703205639237969080188796746196694446265523208566227883,0.15,0.15,0.16,0.16,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,75420985704539476720201822398737536250361142581449146517471804075014610439901,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:23:53Z,78180905609071236572586667008641046319691354734695474716224751695019997977366,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:23:53Z,76105733415998926390129496940295162456139380792182389508546861175235643513945,0.65,0.65,0.66,0.66,0.0,0.0,match,0.0
2026-07-31T19:23:53Z,24510156073299886915375683237756073428325078326433420767742812405509165448150,0.34,0.34,0.35,0.35,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.21,0.21,0.22,0.22,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.78,0.78,0.79,0.79,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:26:31Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:26:31Z,91462602922833180947726112170254390614818952379099373819980544185105814335912,0.008,0.008,0.019,0.019,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,81721579149417963189765236244745822836753525940504722923358710243774318095792,0.981,0.981,0.992,0.992,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,25833169055592830552248267144711111137650707446685661578070083522867399973775,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:26:31Z,96178289963040200620703848874877712212637809030966664466182363345407337829935,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:26:31Z,5823805802875099304203116182652199693089526522530469365767529374822548212673,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:26:31Z,44485368873643784531862401772918820589721230664189835980509638753050855169710,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:26:31Z,57748138085022719760345772310040703848567377822400132842014290209986511882046,0.021,0.021,0.022,0.022,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,28239418772633645184924651434956000849078365566842629564562475378531350731731,0.978,0.978,0.979,0.979,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,11728583497514710574356365513249856989304427730091039531942765980605070477300,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:26:31Z,75848210276979954337354349909329862141109563590210566057575338891512846216329,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:26:31Z,3833250547311424992805456252782158332407335422350263044535636678503072819141,0.85,0.85,0.86,0.86,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,30676432546818066080538703205639237969080188796746196694446265523208566227883,0.14,0.14,0.15,0.15,0.0,0.0,match,0.0
2026-07-31T19:26:31Z,75420985704539476720201822398737536250361142581449146517471804075014610439901,0.999,0.999,,,0.0,,match,0.0
2026-07-31T19:26:31Z,78180905609071236572586667008641046319691354734695474716224751695019997977366,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:26:31Z,76105733415998926390129496940295162456139380792182389508546861175235643513945,0.65,0.63,0.66,0.65,20.0,10.0,drift,0.0
2026-07-31T19:26:31Z,24510156073299886915375683237756073428325078326433420767742812405509165448150,0.34,0.35,0.35,0.36,10.0,10.0,drift,0.0
2026-07-31T19:29:08Z,27146956652877944551877724690365745048289675287536243265951843487691050802191,0.001,0.001,0.003,0.003,0.0,0.0,match,0.0
2026-07-31T19:29:08Z,33216695217861742195941369663873573949679634432452142092545486849801915283392,0.997,0.997,0.999,0.999,0.0,0.0,match,0.0
2026-07-31T19:29:08Z,87811808813553879856351839381400249517684530928608821949285796387486547133164,0.21,0.22,0.24,0.23,10.0,10.0,drift,0.0
2026-07-31T19:29:08Z,67021091896272569767448640536390270996721281816939226388307772323520174561559,0.76,0.75,0.79,0.76,10.0,30.0,drift,0.0
2026-07-31T19:29:08Z,114032603163145625334492420626131015616960175512177637671182501136180561700711,,,0.001,0.001,,0.0,match,0.0
2026-07-31T19:29:08Z,5440507028822975682546447861728849405421215504490710402848789902860379611913,0.999,0.999,,,0.0,,match,0.0
