mode,token_id,fills,equity_final_usd,spread_capture_mean_cents,markout_mean_cents
skew_on,96777037696114848391766419517574922007344115888940813113872692623013070089375,0,0.0,,
skew_on,97166107287234497412734496054463228470063422608173149121206267858484467672978,0,0.0,,
skew_on,97672112380588518658859221422581522664938121648778223046012006536512218182756,0,0.0,,
skew_on,97912974556505097471140703824534539631227593711361303698649171859837355186863,0,0.0,,
skew_on,98022490269692409998126496127597032490334070080325855126491859374983463996227,0,0.0,,
skew_on,98165997526504155072211489624964995141099749875757338865080345428663813769275,0,0.0,,
skew_on,98243235802256277307355151946200594769978374926029806468282956710218078263468,0,0.0,,
skew_on,98306811672124660042942012455036608757069915973874452428896679210519367135070,0,0.0,,
skew_on,99807503632459517030616292055983105381849115736225256331133222076990620978808,3,5.42,1.063,-1.0633333333333332
skew_off,100818499003359884559774352671825765184103958625070066814408985574716007147193,0,0.0,,
skew_off,100966306057435164439067339228624332754270252294302540206756310699254942177976,0,0.0,,
skew_off,102538487491850424790591550212489110219679828851969333270010095726524412529367,0,0.0,,
skew_off,103704141773947678931823410030956181918562062788486034785782641603149828893320,0,0.0,,
skew_off,103705222348348023632358209307161171933864556870678885035120650593331360918837,0,0.0,,
skew_off,103711573894614472510743687764792452240919804104728889027222697502832804498206,0,0.0,,
skew_off,103964743736847868582159777341324076149918550949982197636847126454376683338421,0,0.0,,
skew_off,10398766811303655595339782235864350348828881761515262235130136230008770201075,0,0.0,,
skew_off,104364047276779956150815000750759444324012427302824233404469499322904769447374,0,0.0,,
skew_off,104465417519980311143854001509373249196517388669955959917684504728580774863034,0,0.0,,
skew_off,105267568073659068217311993901927962476298440625043565106676088842803600775810,0,0.0,,
skew_off,10553917527871259014867933253903838134228152744058156727275127563897745134791,0,0.0,,
skew_off,105829206264997691788038542061294329729237305386795827730740731011854221360614,4,0.0,2.875,-1.75
skew_off,106383854378569763040038727158261681740086130201198677161578651498744312589763,0,0.0,,
skew_off,107587773577193309872234793913282710128193219302267633047803930965862507239189,0,0.0,,
skew_off,108022836882070634894978103447460059415631393810246745281341648986501895644031,0,0.0,,
skew_off,108052633825118494550832240247980096965299835115818656939682823516952479310001,0,0.0,,
skew_off,108338907967710121616562471010445051834321291521730562398877972738614106634982,0,0.0,,
skew_off,108999723207897941876452935557011604067917389120996960199512481363958770540884,0,0.0,,
skew_off,109032054135515324372392914003878608801870315631474102526082551908911817990775,0,0.0,,
skew_off,109223657334725476924710634471321315385389367621714474291402615707818729630121,0,0.0,,
skew_off,109289569086508934142323222102974769075074494425163878721602922903101062859033,0,0.0,,
skew_off,109439459397675447272341488571573598040211823291452380402543262182060250075424,0,0.0,,
skew_off,110028171623846551687151479494325822981244001939750602839571004785511377900325,0,0.0,,
skew_off,110217591945151157649327586817895909555659898136471568612407796254538901768830,0,0.0,,
skew_off,110251828161543119357013227499774714771527179764174739487025581227481937033858,10,-2.97,0.9,-0.14999999999999997
skew_off,110540225177219524039862595475289990032643955968401089134377304882717624846278,0,0.0,,
skew_off,111069773445342942996261875358232855367751274201022573488508134853134563587887,0,0.0,,
skew_off,111128191581505463501777127559667396812474366956707382672202929745167742497287,3,2.85,1.0,-1.0
skew_off,111407906413483830198481741547621131014289190946534570245645667771579973364067,0,0.0,,
skew_off,111538579557239934343870815626480092245052857494675784434731223739153238373070,0,0.0,,
skew_off,111540681317740103557967262084337258765868556750780059317482948108124337120382,0,0.0,,
skew_off,111699204507563543490907649828278526762321026750976872427871357593788391327392,1,-0.86,0.5,-0.5
skew_off,112468620935063687606410022378078855998390735429551163191251582889945981781902,0,0.0,,
